"OBJECTID","access_code","access_days_time","access_detail_code","cards_accepted","date_last_confirmed","expected_date","fuel_type_code","groups_with_access_code","id","maximum_vehicle_class","open_date","owner_type_code","restricted_access","status_code","funding_sources","facility_type","station_name","station_phone","updated_at","geocode_status","latitude","longitude","city","country","intersection_directions","plus4","state","street_address","zip","bd_blends","cng_dispenser_num","cng_fill_type_code","cng_has_rng","cng_psi","cng_renewable_source","cng_total_compression","cng_total_storage","cng_vehicle_class","e85_blender_pump","e85_other_ethanol_blends","ev_connector_types","ev_dc_fast_num","ev_level1_evse_num","ev_level2_evse_num","ev_network","ev_network_web","ev_other_evse","ev_pricing","ev_renewable_source","ev_workplace_charging","hy_is_retail","hy_pressures","hy_standards","hy_status_link","lng_has_rng","lng_renewable_source","lng_vehicle_class","lpg_nozzle_types","lpg_primary","ng_fill_type_code","ng_psi","ng_vehicle_class","rd_blended_with_biodiesel","rd_blends","rd_blends_fr","rd_max_biodiesel_level","nps_unit_name","access_days_time_fr","intersection_directions_fr","bd_blends_fr","groups_with_access_code_fr","ev_pricing_fr","federal_agency_id","federal_agency_code","federal_agency_name","ev_network_ids_station","ev_network_ids_posts","x","y"
"1982","public","24 hours daily","","","1/10/2023 12:00:00 AM","","ELEC","Public",33351,"LD","1/15/2018 12:00:00 AM","LG","0","E","","MUNI_GOV","City of Lacey - City Hall Parking","360-491-3214","2/14/2023 3:54:11 PM","200-9",47.044011,-122.822404,"Lacey","US","At 3rd Ave SE, next to police station",NA,"WA","420 College St","98503","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",4,"Non-Networked","","","Free; 3 hour maximum charging session","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","","",-122.822404000128,47.0440110002949
"2047","public","24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging","","","12/13/2023 12:00:00 AM","","ELEC","Public",33717,"LD","3/1/2010 12:00:00 AM","P","0","E","","AIRPORT","Seattle-Tacoma International Airport - General Parking","206-787-5388","1/31/2024 10:07:01 PM","200-8",47.443377,-122.296229,"Seattle","US","5th floor parking garage; rows D, G, and I",NA,"WA","17801 Pacific Hwy S","98188","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",68,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","","",-122.296228999842,47.4433769999251
"2495","public","24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging","","","6/12/2023 12:00:00 AM","","ELEC","Public",35620,"LD","4/15/2010 12:00:00 AM","P","0","E","","OFFICE_BLDG","Avista Corp","509-489-0500","1/31/2024 10:07:01 PM","GPS",47.673347,-117.388933,"Spokane","US","",NA,"WA","1411 E Mission Ave","99252","",NA,"",NA,"","",NA,NA,"",NA,"","[""J1772"",""NEMA520""]",NA,"1",2,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","","",-117.388932999769,47.6733469998906
"2496","public","24 hours daily","","","4/6/2023 12:00:00 AM","","ELEC","Public",35621,"LD","4/15/2010 12:00:00 AM","P","0","E","","RESTAURANT","Steam Plant Parking","800-227-9187","1/31/2024 10:07:01 PM","GPS",47.65579218,-117.4236637,"Spokane","US","",NA,"WA","130 S Post St","99201","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",6,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","","",-117.423663700318,47.6557921798502
"2761","public","24 hours daily","","","3/26/2025 12:00:00 AM","6/7/2024 12:00:00 AM","ELEC","TEMPORARILY UNAVAILABLE (Public)",37181,"","12/15/2010 12:00:00 AM","","","T","","","BELLEVUE BELLEVUE CH 1","888-758-4389","3/26/2025 1:17:29 AM","GPS",47.614744,-122.193162,"Bellevue","US","Visitor Parking. First Left-hand Turn.",NA,"WA","450 110th Ave NE","98004","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"TEMPORAIREMENT SUSPENDU (Public)",NA,NA,"","","[USCPIL479461]","[""653191"",""653201""]",-122.193162000359,47.6147440002057
"2808","public","24 hours daily","","","3/26/2025 12:00:00 AM","","ELEC","Public",38082,"","2/15/2008 12:00:00 AM","","","E","","","KING COUNTY DES ISSAQUAH P&R 2","888-758-4389","3/26/2025 1:43:33 AM","GPS",47.545324,-122.0195,"Issaquah","US","garage",NA,"WA","1755 Highlands Dr NE","98027","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","[USCPIL5420341]","[""9021991"",""9022001""]",-122.019499999552,47.5453240001323
"2809","private","","","","7/11/2023 12:00:00 AM","","ELEC","Private",38083,"LD","7/15/2011 12:00:00 AM","LG","","E","","MUNI_GOV","King County - King County Van Distribution Center","","1/31/2024 10:07:01 PM","200-9",47.675897,-122.091237,"Redmond","US","Off NE Union Hill Road between 188th Ave NE and 178th Pl NE",NA,"WA","18655 NE Union Hill Rd","98052","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",3,"Non-Networked","","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Privé",NA,NA,"","","","",-122.091237000351,47.6758970002935
"2866","public","24 hours daily","","","3/26/2025 12:00:00 AM","","ELEC","Public",38952,"","3/15/2011 12:00:00 AM","","","E","","","UWB CASCADIA CC NORTH LEVEL 3 N","888-758-4389","3/26/2025 1:11:52 AM","GPS",47.761878,-122.191915,"Bothell","US","Just to the right as you enter the north garage.",NA,"WA","18500 Campus Way NE","98011","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","[USCPIL205055]","[""13482051"",""13482061""]",-122.191915000405,47.7618780000981
"2867","public","24 hours daily","","","3/26/2025 12:00:00 AM","","ELEC","Public",38959,"","3/15/2011 12:00:00 AM","","","E","","","CITY OF REDMOND CITY HALL DUAL","888-758-4389","3/26/2025 1:02:54 AM","GPS",47.679224,-122.12995,"Redmond","US","",NA,"WA","15670 NE 85th St","98052","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","[USCPIL134377]","[""22595811"",""22595821""]",-122.129949999928,47.6792240002209
"2868","public","24 hours daily","","","3/26/2025 12:00:00 AM","","ELEC","Public",38966,"","3/15/2011 12:00:00 AM","","","E","","","CITY OF REDMOND MOC #1 PUBLIC","888-758-4389","3/26/2025 1:02:53 AM","GPS",47.672359,-122.099034,"Redmond","US","",NA,"WA","18080 NE 76th St","98052","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","[USCPIL134289]","[""23040521"",""23040531""]",-122.099033999725,47.672358999877
