"id","processed_text","original_text","sentiment","date","user","sentiment_label"
1467891826,"amazon s3 plugin website php host provider php sad","amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.",0,"Mon Apr 06 22:41:07 PDT 2009","elamparuthi","Negative"
1468117383,"mau donk diajarin","@musicthelev owww, mau donk diajarin... ",4,"Mon Apr 06 23:48:32 PDT 2009","umar_zandrie","Positive"
1468133282,"biz dev tennis bowl beer game begin","Today its biz side vs dev side @yunoo  Tennis, bowling &amp; beers! Let the games begin...",4,"Mon Apr 06 23:53:57 PDT 2009","kmvoges","Positive"
1468147480,"read past tweet hey email","@vdichev Don't read past tweets  Hey, it's not email!",4,"Mon Apr 06 23:58:39 PDT 2009","hristo_deshev","Positive"
1468179381,"link take quot hazardous weather outlook michigan quot quick dirty","@ev  Link takes me to &quot;Hazardous Weather Outlook for Michigan&quot;, quick &amp; dirty indeed. ",4,"Tue Apr 07 00:08:48 PDT 2009","ryan0range","Positive"
1468180010,"btw ccsf communique dev macbook pro","@AppleCCSF btw, I'm doing all of my CCSF / Communique 5 dev on a MacBook Pro.  ",4,"Tue Apr 07 00:09:00 PDT 2009","polymorphic1","Positive"
1468258852,"agreee attention catch train mateee","@TyJaneTrev i agreee! clearly they only want attention, SORRY I COULDN'T CATCH THE TRAIN MATEEE ",0,"Tue Apr 07 00:35:36 PDT 2009","itsjusttori","Negative"
1468322180,"fine swamp break pau rendang sound yummy stomach grumble","@angelalpev Fine, but swamped with work. Seriously need a break. -_- Pau rendang sounds yummy *stomach grumbling* ",4,"Tue Apr 07 00:58:06 PDT 2009","fieza46","Positive"
1468323352,"lol rev bad click break catch","@RevEckzeff Lol Rev I am not that bad! I have been clicking @replies but they were broken, working again now so catching up! ",4,"Tue Apr 07 00:58:35 PDT 2009","SarahSaner","Positive"
1468325346,"live tesla dealership guy expensive tesla car cruise university avenue attention","@rt_winger I live by the Tesla dealership. Guys get their expensive Tesla cars and cruise University Avenue...I still get more attention! ",4,"Tue Apr 07 00:59:16 PDT 2009","MistralWinds","Positive"
1468329221,"depress app's alpha 10 complex app's version dev team day","Depressed. Our new app's Alpha 0.0.10 is now even more complex than our last app's version 9.5. I long for those  small dev teams days.  ",0,"Tue Apr 07 01:00:32 PDT 2009","stblank","Negative"
1468336150,"talk create loyal net power plugin ecosystem move","@AndrewRimmer Sure, but I am talking about creating a loyal following.. .NET powered plugin ecosystem. Done. I would move ",4,"Tue Apr 07 01:02:56 PDT 2009","robcthegeek","Positive"
1468364617,"mef release spend dev computer crack addict dealer","@gblock #mef C'mon, release it please! I spent all day without my dev computer. It's like a crack addict who can't find his dealer! ",4,"Tue Apr 07 01:13:16 PDT 2009","rickrat","Positive"
1468367488,"solen var inge varm","@theresev solen var inge varm ",0,"Tue Apr 07 01:14:20 PDT 2009","joacimhagg","Negative"
1468430390,"pity facebook chat exceed msn's amazingly level unreliability","@davidkudrev It's just a pity that Facebook Chat has exceeded even MSN's amazingly level of unreliability! ",0,"Tue Apr 07 01:37:16 PDT 2009","dryfter","Negative"
1468502931,"skimmer fallon time overwiev style cool ig browse photo","try to use skimmer by fallon for the first time... like the overwiev and style, would be cool ig you could browse the photos ",0,"Tue Apr 07 02:04:00 PDT 2009","Hanja","Negative"
1468529602,"watch 2pm brick wall jump caffeine rush","@jinjaDev watch out for the 2pm brick wall that jumps out at you once the caffeine rush ends ",4,"Tue Apr 07 02:13:44 PDT 2009","mattatron","Positive"
1468625219,"download persona firefoxp plugin easily dress browser nice design","Just downloaded 'Get Personas' - a Firefoxp plugin which allows you to easily dress up your browser. There's some really nice designs. ",4,"Tue Apr 07 02:48:20 PDT 2009","Wriggy","Positive"
1468655009,"woohoo forward play feature hope framework reboot lead cool plugins","@plexsquared Woohoo! Really looking forward to playing with the new features and hope the Framework reboot leads to more cool plugins ",4,"Tue Apr 07 02:59:10 PDT 2009","glennlunder","Positive"
1468753681,"vega blast tonight suck chick talkin trash watevs yo","Got better at Vegas 2 today! &amp; had a blast w/everyone tonight! sucks that chick was talkin trash @ the end  watevs yo",0,"Tue Apr 07 03:33:00 PDT 2009","xCHICKAMUNGUSx","Negative"
1468787506,"south belgrave butcher colby make chicken kiev eat wow return","The South Belgrave butcher (Colby Rd) makes the best chicken kiev I've ever eaten.  Wow! I will definitely return, and try more ",4,"Tue Apr 07 03:44:09 PDT 2009","nifwlseirff","Positive"
1468884386,"even","@HeavenlyHev good evening. ",4,"Tue Apr 07 04:14:04 PDT 2009","LordJesterX","Positive"
1468902962,"expect","@HeavenlyHev how was it, so I know what to expect? ",4,"Tue Apr 07 04:19:36 PDT 2009","LordJesterX","Positive"
1468935136,"lot illegaly download lose haz whatev tozz email","@aamelia lots and many. I illegaly downloaded them (h) BUT then lost them all. so now I only haz whatev ones tozz emails me  why?",4,"Tue Apr 07 04:28:49 PDT 2009","marlycat","Positive"
1469047169,"symfonians 500 app 500 symfony plugins list","@n1k0 after the symfonians' 500 apps, there are 500 symfony plugins listed ",4,"Tue Apr 07 04:59:12 PDT 2009","hhamon","Positive"
1469220452,"photo tomorrow pattern headless blasphemous xd","@drkwhisper  Work on the photos maybe tomorrow, I'm trying the new pattern out now. She's currently headless... is that blasphemous? XD",4,"Tue Apr 07 05:39:23 PDT 2009","aniraangel","Positive"
1469414844,"dearly miss symfony dev environment zend framework","I still dearly miss the symfony dev environment when working with zend framework ",0,"Tue Apr 07 06:18:34 PDT 2009","skoop","Negative"
1469448104,"love chandler head read read quot chandler quot","@vkwheels i love the fact, that i said it like Chandler in my head as i read it. and then kept reading n saw u say, &quot;just like Chandler&quot; ",4,"Tue Apr 07 06:24:47 PDT 2009","LisaK582","Positive"
1469498803,"hope","@michellev  ok. hope you can make it",0,"Tue Apr 07 06:33:58 PDT 2009","CandisAshley","Negative"
1469728032,"add firefox plugin power twitter highly recommend","@RufusHound @glinner I should add that the firefox plugin 'Power Twitter' is highly recommended!   http://bit.ly/Lz2kT",4,"Tue Apr 07 07:14:37 PDT 2009","doodlewhale","Positive"
1469732054,"shira zer","@AdarShalev Who's Shira Zer? ",4,"Tue Apr 07 07:15:19 PDT 2009","adamtal","Positive"
1469953741,"feel break svn integration idea plugin support","Really feeling broken SVN integration with IDEA.  Need new plugin that supports 1.6 now now now.",0,"Tue Apr 07 07:54:57 PDT 2009","gdaniels","Negative"
1470125653,"come coworker","@vanessaev Probably still better than them coming from your coworkers. ",4,"Tue Apr 07 08:25:26 PDT 2009","echeers","Positive"
1470127412,"ready dev team move dev lane test lane bug bath begin","is getting ready to have the dev team move from dev lane to test lane and then let the bug bath begin!  ",4,"Tue Apr 07 08:25:48 PDT 2009","itdx","Positive"
1470183494,"remember ill password","@kirkwhq I don't remember how to do ILL or my password. ",0,"Tue Apr 07 08:35:46 PDT 2009","saratoga","Negative"
1548524122,"hnn text call whatev talk hmm ignore","@pinkee hnn, text me (or call me :\) if you want to like/want/whatev to talk to me  , but hmm, i see, you want to ignore me ",0,"Fri Apr 17 21:11:34 PDT 2009","cooldude13233","Negative"
1548660891,"home easter","@olga_Bondarev I wish I could be at home for easter ",0,"Fri Apr 17 21:35:20 PDT 2009","zhelezika","Negative"
1548835188,"saturday morning promotion firefox plugin eat life","Saturday morning promotion: if there was only one firefox plugin, it should be http://www.feedly.com (but it eats up my life ",0,"Fri Apr 17 22:07:08 PDT 2009","gillesguillemin","Negative"
1550940241,"twitter revolution twitter news socialmedia tcot business web text follow tweet","The Twitter Revolution  http://tinyurl.com/cgwpdb @ev @biz @wsj #twitter #news #socialmedia #tcot #business #web #text #follow #tweet",4,"Sat Apr 18 07:41:40 PDT 2009","cari2008","Positive"
1550994751,"hope","@AndrewsMcMeel Hope you soon find what you are looking for   http://wordpress.org/extend/plugins/calendar/",4,"Sat Apr 18 07:51:16 PDT 2009","anitamccants","Positive"
1551018756,"appear jquery plugin round border navigation os ubuntu round border visible","it appears that jQuery plugin for making round borders in navigation doesn't work on all OS, in Ubuntu round borders aren't visible ",0,"Sat Apr 18 07:55:28 PDT 2009","navinpoeran","Negative"
1551181926,"fun dev","@shelleyforsberg have fun with dev today. ",4,"Sat Apr 18 08:21:49 PDT 2009","scadephoto","Positive"
1551301785,"wait green light post contest rev engine","Just waiting for the green light before I post this contest... *revs engine*  ",4,"Sat Apr 18 08:41:31 PDT 2009","jennybeanses","Positive"
1551390974,"gravity s60 twitter client sadly cost euro similar iphone free","@VadimVasiliev thanks! Gravity S60 Twitter client seems to be far better. Sadly it costs 8 euros while similar things for iPhone are free ",0,"Sat Apr 18 08:56:05 PDT 2009","lucaongaro","Negative"
1551420866,"alas bikini season 20","@Juana4ev alas it won't be bikini season for me...maybe in 20 years ",0,"Sat Apr 18 09:00:46 PDT 2009","annette216","Negative"
1551458213,"morning","@TurtleV Good morning to you too ",4,"Sat Apr 18 09:06:39 PDT 2009","Aleenia","Positive"
1551522396,"dats luv sev dumb call waz sumthn bout lmao","@sevdaproducer dats why i luv sev  ...i'm so dumb i called u first like there waz sumthn u could do bout it lmao",4,"Sat Apr 18 09:16:45 PDT 2009","studioradar","Positive"
1551584598,"quarantine hev orange juice nighttime flu gel cap soup feel monday","I quarantined myself. I hev my orange juice, nighttime flu gel caps &amp; soup...I have to feel better by Monday ",0,"Sat Apr 18 09:26:37 PDT 2009","Monique_Alexis","Negative"
1551939750,"awk nerdy history luncheon ev fml","is at the most awk/nerdy history luncheon ev  fml",0,"Sat Apr 18 10:22:03 PDT 2009","deeeeee88","Negative"
1553583078,"update wordpress plugins artwork","Updating wordpress plugins...  yes a day without new artwork ",0,"Sat Apr 18 14:39:34 PDT 2009","lostdeviant","Negative"
1553584021,"writer butcher accent page nate's faboo","@LisaMantchev Normally writers butcher accents on the page, but Nate's is faboo. ",4,"Sat Apr 18 14:39:43 PDT 2009","CatherineHaines","Positive"
1553676534,"momma","@claudiagmodel You are such a good momma. ",4,"Sat Apr 18 14:54:48 PDT 2009","Tigger761","Positive"
1553770250,"rev run inspire angle overcome angle amaze hahaha","rev run is inspiring me -- the best angle to overcome any problem is the try-angle...AMAZING!  hahaha",4,"Sat Apr 18 15:09:54 PDT 2009","kelliv86","Positive"
1553893199,"dam app apple store prefer buy know money dev directly","@hawpunch yes if there is the dams app in the apple store I prefer to buy there knowing money will go to the dev directly ",4,"Sat Apr 18 15:30:03 PDT 2009","aussieboby","Positive"
1554518532,"hope friend call destroy herebeforeoprah","I hope since @oprah is friends with @ev she doesn't make a call to get me destroyed  #herebeforeoprah",0,"Sat Apr 18 17:12:56 PDT 2009","herebeforeoprah","Negative"
1555730471,"trevs bon qui qui","is in trevs room; about to do bon qui qui ",4,"Sat Apr 18 20:31:55 PDT 2009","maddiek0728","Positive"
1555760341,"yes fix test","@macbuddydev yeah i know. I was fixing what u said.  im testing 2 ;)",4,"Sat Apr 18 20:36:58 PDT 2009","jarhead2000","Positive"
1556066707,"mycleenr def time ure follower tweet tho prob hmmm dev opp","@NathanaelB mycleenr.com *might* do it? that def shows last time ure followers tweeted, tho prob not @'s. hmmm, dev opp? ",4,"Sat Apr 18 21:32:17 PDT 2009","coliwilso","Positive"
1556168489,"aww coolness","@AyNayNay http://twitpic.com/3kwha - aww coolness ",4,"Sat Apr 18 21:52:24 PDT 2009","J0SMILES","Positive"
1556569759,"lie ecpecially believ wrong","i never lie ecpecially to myself because then i dont believ in my self and thats just wrong so im right ",4,"Sat Apr 18 23:22:23 PDT 2009","Kyle_Edward890","Positive"
1556587658,"yes sad","@FcKwHtYaHeArD yeah i know  its sad",0,"Sat Apr 18 23:27:09 PDT 2009","krystalnichole","Negative"
1556627785,"woo love picture","@danlev Woo! Loving your new picture here. ",4,"Sat Apr 18 23:37:34 PDT 2009","AdrianaLemus","Positive"
1556685763,"fork redmine sa plugins word warn raise author accept pull request","@adthrelfall Did you fork the redmine SA plugins? (word of warning I can't raise the authors to have them accept pull requests  )",0,"Sat Apr 18 23:52:34 PDT 2009","ciaran_j","Negative"
1556687682,"listen implement feature cool pl dm 1st basis","@twikini @PockeTwitDev @tinytwitter if interested in listening &amp; implementing a new feature which I think is cool pls DM 1st come basis ",4,"Sat Apr 18 23:53:06 PDT 2009","CreativeWolf","Positive"
1556957712,"mitev ruin chance sunshine leave short night wear 2day kiss death sunshine","@VioletsCRUK Think i mitev ruined any chance of sunshine here. Left shorts out last night 2 wear 2day. Usually kiss of death 2 sunshine! ",0,"Sun Apr 19 01:13:20 PDT 2009","dbdc","Negative"
1557047380,"baha love scheme kev","Baha, I love scheming with Kev ",4,"Sun Apr 19 01:43:08 PDT 2009","Melly_MEOW","Positive"
1557108345,"hey hey happy bday evan sobriety issue","@_ev hey hey happy bday Evan, but do something with that sobriety issue ",4,"Sun Apr 19 02:03:20 PDT 2009","fedezz","Positive"
1557151947,"movie notice recharge station","@sachindalal Sorry, I don't work for Better Place, just went to the movies and noticed the recharging station. ",4,"Sun Apr 19 02:18:47 PDT 2009","IdanAharoni","Positive"
1557207108,"wtf radio plugin phone","WTF where's my radio plugin for my phone!??! ",0,"Sun Apr 19 02:39:06 PDT 2009","faultlines","Negative"
1557216151,"brixton bday lolz include","Brixton for @Underoathband, @kbeevs bday and lolz including @sarahvsshark @helenlolzzz @miketreat @katieparsons but NOT @_startafire ",0,"Sun Apr 19 02:42:30 PDT 2009","mammacaz","Negative"
1557335227,"nice whip dev","@ukalipt turned out nice. You must have been whipping those devs ",4,"Sun Apr 19 03:28:27 PDT 2009","Chris_Gillespie","Positive"
1557412328,"finally twitter application waste hour front forget","@Drev finally on twitter! another application to waste long hours in front of, or just go on once and forget it about it ",4,"Sun Apr 19 03:57:42 PDT 2009","Maritvs","Positive"
1557442418,"dear name shame","@mrtrev OH dear...will u be naming and shaming? ",4,"Sun Apr 19 04:08:25 PDT 2009","Hyper8","Positive"
1557556364,"twitter","@ev Thank you for Twitter ",4,"Sun Apr 19 04:49:06 PDT 2009","Monty_Burns","Positive"
1557602937,"bev fine","@n2bev Hi bev!  you're fine?",4,"Sun Apr 19 05:04:12 PDT 2009","Schattenwolf","Positive"
1557749826,"hope dcfc photo","@BaileyBeth Hope DCFC was good! Make sure to show me and @LewisForbes the photos if you were able to take any. ",4,"Sun Apr 19 05:49:37 PDT 2009","npellant","Positive"
1557918691,"roberta whatev hot stuff doctorrrrr tonight","but roberta or whatev is hotter and stuff :p  Doctorrrrr who tonight ",4,"Sun Apr 19 06:34:13 PDT 2009","Jadineee","Positive"
1558118005,"relax apartment check identify firefox plugin pretty neat implement glass","Relaxing back at the apartment, Just checked out Identify : a  firefox plugin, pretty neat, now to implement it in some glasses ",4,"Sun Apr 19 07:19:34 PDT 2009","jasonaltenburg","Positive"
1558192057,"hope live albany","@trinityrev hope all is well! We are living in Albany now... ",4,"Sun Apr 19 07:34:57 PDT 2009","JessicaK","Positive"
1558397142,"win4dev link correct","@profBury #win4dev link correct? ",4,"Sun Apr 19 08:14:54 PDT 2009","jke","Positive"
1558560524,"tesla raise cat house","@ksmithington Tesla was raised with a cat in the house, he should know better! ",4,"Sun Apr 19 08:44:52 PDT 2009","kissmythistle","Positive"
1558701798,"install pocketwit map germany munich grey landmark","@PockeTwitDev I installed PockeTwit, but the map won't show up, at least in germany/munich. Just a grey area without any landmarks. ",0,"Sun Apr 19 09:09:24 PDT 2009","RosivDamotil","Negative"
1558795232,"mercy hill rev kev hear blogging orlandos italy 21st century von trapp family singer","At Mercy Hill with Rev Kev! Heard about the Blogging Orlandos in Italy. The 21st century Von Trapp Family Singers.  http://ping.fm/Eozr8",4,"Sun Apr 19 09:25:24 PDT 2009","bullmeister","Positive"
1558946355,"admit love cold bev love 15 cold bevs line secret","@yaimluke I must admit, I love being on cold bev. I love having 15 cold bevs in line - my little secret ",4,"Sun Apr 19 09:50:28 PDT 2009","daniellekick","Positive"
